date,exercise,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2016-10-25,row,barbell,95,5,120,5,142.5,5,167.5,5,190,5
2016-10-25,tricep extension,cable - angle bar,170,8,170,7,170,7
2016-11-02,squat,low bar,150,5,185,5,225,5,260,5,297.5,5
2016-11-02,bench,barbell,87.5,5,107.5,5,130,5,150,5,172.5,5,135,10
2016-11-02,row,barbell,95,5,110,5,135,5,155,5,177.5,5,135,8
2016-11-02,tricep extension,cable - angle bar,145,10,145,10,145,10
2016-11-04,squat,low bar,150,5,185,5,225,5,225,5
2016-11-04,press,barbell,77.5,5,95,5,110,5,125,5
2016-11-04,deadlift,barbell,135,5,187.5,5,225,5,262.5,5,300,5
2016-11-04,bicep curl,barbell,80,8,80,8,80,8
2016-11-06,squat,low bar,150,5,185,5,225,5,260,5,305,3,225,10
2016-11-06,bench,barbell,95,5,115,5,135,5,155,5,177.5,5,135,12
2016-11-06,row,barbell,95,5,115,5,135,5,155,5,182.5,4,135,12
2016-11-06,tricep extension,cable - angle bar,150,10,150,10,150,10
2016-11-09,squat,low bar,152.5,5,190,5,230,5,267.5,5,305,5
2016-11-09,bench,barbell,95,5,115,5,135,5,155,5,177.5,6
2016-11-09,row,barbell,95,5,115,5,135,5,155,5,182.5,5
2016-11-09,tricep extension,cable - angle bar,155,10,155,10,155,10
2016-11-11,squat,low bar,152.5,5,190,5,230,5,230,5
2016-11-11,press,barbell,80,5,95,5,112.5,5,127.5,5
2016-11-11,deadlift,barbell,135,5,192.5,5,230,5,270,5,307.5,5
2016-11-11,bicep curl,barbell,80,10,80,10,80,10
2016-11-13,squat,low bar,152.5,5,190,5,230,5,267.5,5,312.5,4,230,10
2016-11-13,bench,barbell,95,5,115,5,135,5,155,5,180,5,135,15
2016-11-13,row,barbell,95,5,115,5,137.5,5,160,5,187.5,4,137.5,10
2016-11-13,tricep extension,cable - angle bar,160,10,160,10,160,10
2016-11-16,squat,low bar,157.5,5,195,5,235,5,275,5,312.5,5
2016-11-16,bench,barbell,95,5,115,5,135,5,157.5,5,180,6,135,15
2016-11-16,row,barbell,95,5,117.5,5,140,5,165,5,187.5,5,140,10
2016-11-16,tricep extension,cable - angle bar,165,10,165,10,165,10
2016-11-18,squat,low bar,157.5,5,195,5,235,5,235,5
2016-11-18,press,barbell,82.5,5,100,5,115,5,132.5,5
2016-11-18,deadlift,barbell,135,5,197.5,5,237.5,5,275,5,315,5,237.5,5
2016-11-18,bicep curl,barbell,80,11,80,11,80,10
2016-11-20,squat,low bar,157.5,5,195,5,235,5,275,5,320,4,235,9
